Customer Id,Account_No,First Name,Last Name,DOB,PAN Card,Contact,Employment Info,Relationship Status,Email,Transaction ID,Amount,Transaction Type,Transaction Date,KYC_date,defence_background,Ok_to_Call_or_email,Criminal_Record,Feedback Date,Feedback Text,Feedback Rating
465995,2.71E+11,James,Cruz,26-08-1979,6JI6JYJFH0,-7868967480,Closed,Single,alina.runolfsson@gmail.com,e6f7ed48-fff5-49f3-adf5-6bdeeea156c8,443.55,Withdrawal,30-04-2023,03-05-2023,FALSE,TRUE,FALSE,25-02-2023,Back feeling generation wrong result. Street support appear shake. Case raise push participant.,1
613641,3.79E+11,Timothy,Moore,11-06-1973,QAQJNQC0KM,-7325605007,Closed,Married,lauren.aufderhar@gmail.com,fb035dfc-7bc6-4934-aecb-d5c9c6c3af27,128.81,Deposit,03-05-2023,30-11-2021,TRUE,TRUE,FALSE,17-08-2023,Daughter either past focus his line probably. Successful color already.,5
580662,6.28E+11,,,,,,,,,,,,,,,,,,,4
522174,5.13E+11,Robert,Dennis,15-03-1979,AU93OZJZRB,-8303820418,Active,Married,,bafeb5fc-4000-496d-884e-8e1c35343eb8,384.57,Withdrawal,22-11-2022,21-06-2022,FALSE,TRUE,FALSE,07-07-2023,Beyond same easy walk Mrs thousand myself. Do keep pass life think. Drug arm too draw.,4
902277,7.15E+11,Diana,English,16-01-1987,MWPWPYZ144,-7732378877,Closed,Married,,d6911424-00c2-4472-8423-1a86f4b25440,710.84,Deposit,25-09-2022,08-03-2022,TRUE,TRUE,FALSE,03-06-2023,Everyone thank item enjoy live time.,5
602058,2.99E+11,Angela,Ward,Timothy,NKIQBAO6LZ,-9110661019,Closed,Single,,5f39cb39-a666-4d54-849e-b55b4b67d44a,980.25,Deposit,20-11-2022,22-02-2022,TRUE,TRUE,FALSE,16-01-2023,Respond stage hour color might long and. Cultural work color develop executive change large.,5
496899,7.84E+11,Suzanne,Fleming,09-09-1968,YPIEJ6WITI,-6218657540,Active,Married,melania.emmerich@yahoo.com,12919488-43e2-4229-a42d-8399d6148bdf,940.91,Deposit,07-07-2023,03-01-2022,TRUE,TRUE,FALSE,12-06-2023,Partner under help car. Speak account parent course western answer. East marriage market single walk.,5
458407,6.08E+11,Julie,Garcia,28-04-1981,NXEEWHMKGX,-8474938716,Closed,Single,gil.rowe@yahoo.com,c03d8d49-2164-4be4-b147-07d3f3abb5db,20.29,Withdrawal,12-04-2023,21-07-2023,FALSE,TRUE,FALSE,29-03-2023,Understand expert today significant institution store identify hit. But after guess second professional carry. Lay would table lose minute big.,2
496899,7.84E+11,Lance,Lloyd,23-05-1974,5GRER6TWZE,-7535941257,Active,Married,,124d7a46-ab14-45d7-88c4-ff0ea45e0250,188.48,Deposit,06-08-2023,16-07-2022,FALSE,TRUE,FALSE,07-12-2022,Form others significant around. Establish relationship series chance end many lay. Who assume record action yourself especially board. Approach offer people rather decade product.,1
281925,8.45E+11,Amy,Acosta,02-03-1983,T9XLV1GQEC,-7863596585,Active,Single,shayla.konopelski@gmail.com,e6582cfa-29d7-493d-8f73-bc77a2c6112d,692.4,Deposit,26-08-2023,25-10-2022,TRUE,TRUE,FALSE,15-01-2023,Class cut role memory. Can cup allow meeting yard personal. Sense human newspaper station determine senior business.,4
980732,8.98E+11,Betty,Smith,11-03-1981,VV6MBL8KOA,-8976988608,Closed,Married,mandie.kozey@gmail.com,d7b7861b-1cad-41ae-8d33-2b39c6b6e33f,140.37,Deposit,Withdrawal,06-11-2022,FALSE,FALSE,FALSE,08-09-2022,Security guess system high. Majority whole form team already measure. Ready recently assume service assume. Ready white girl factor mouth.,1
